"","date","region","cas"
"1",2020-03-18,"Analamanga",4
"2",2020-03-18,"Boeny",3
"3",2020-03-18,"Matsiatra Ambony",3
"4",2020-03-19,"Analamanga",1
"5",2020-03-20,"Analamanga",17
"6",2020-03-22,"Analamanga",3
"7",2020-03-23,"Analamanga",1
"8",2020-03-24,"Analamanga",9
"9",2020-03-25,"Analamanga",7
"10",2020-03-25,"Atsinanana",1
"11",2020-03-25,"Diana",1
"12",2020-03-25,"Menabe",1
"13",2020-03-26,"Analamanga",19
"14",2020-03-26,"Atsinanana",4
"15",2020-03-26,"Vakinankaratra",1
"16",2020-03-27,"Analamanga",3
"17",2020-03-27,"Atsinanana",2
"18",2020-03-27,"Boeny",1
"19",2020-03-27,"Matsiatra Ambony",1
"20",2020-03-28,"Analamanga",3
"21",2020-03-29,"Diana",1
"22",2020-03-30,"Analamanga",1
"23",2020-03-30,"Atsinanana",1
"24",2020-03-31,"Analamanga",4
"25",2020-03-31,"Matsiatra Ambony",5
"26",2020-04-01,"Analamanga",4
"27",2020-04-01,"Matsiatra Ambony",2
"28",2020-04-02,"Analamanga",1
"29",2020-04-03,"Analamanga",1
"30",2020-04-03,"Atsimo-Andrefana",3
"31",2020-04-03,"Atsinanana",2
"32",2020-04-04,"Analamanga",11
"33",2020-04-04,"Atsinanana",2
"34",2020-04-04,"Diana",1
"35",2020-04-05,"Analamanga",4
"36",2020-04-05,"Atsinanana",1
"37",2020-04-06,"Analamanga",5
"38",2020-04-06,"Analanjirofo",2
"39",2020-04-06,"Atsinanana",3
"40",2020-04-07,"Analamanga",1
"41",2020-04-07,"Atsinanana",1
"42",2020-04-08,"Analamanga",1
"43",2020-04-08,"Atsinanana",2
"44",2020-04-09,"Analamanga",2
"45",2020-04-10,"Atsinanana",1
"46",2020-04-11,"Analamanga",1
"47",2020-04-12,"Analamanga",2
"48",2020-04-12,"Atsinanana",2
"49",2020-04-13,"Analamanga",2
"50",2020-04-14,"Analamanga",2
"51",2020-04-14,"Atsinanana",2
"52",2020-04-15,"Analamanga",2
"53",2020-04-16,"Analamanga",1
"54",2020-04-16,"Atsinanana",2
"55",2020-04-17,"Analamanga",1
"56",2020-04-22,"Analamanga",1
"57",2020-04-23,"Atsinanana",2
"58",2020-04-24,"Analamanga",3
"59",2020-04-24,"Anosy",1
"60",2020-04-28,"Atsinanana",2
"61",2020-04-28,"Matsiatra Ambony",1
"62",2020-04-29,"Analamanga",4
"63",2020-04-30,"Atsinanana",9
"64",2020-05-01,"Analamanga",6
"65",2020-05-01,"Atsinanana",2
"66",2020-05-02,"Analamanga",2
"67",2020-05-02,"Atsinanana",4
"68",2020-05-03,"Analamanga",2
"69",2020-05-04,"Analamanga",3
"70",2020-05-04,"Atsinanana",2
"71",2020-05-05,"Alaotra-Mangoro",1
"72",2020-05-05,"Atsinanana",2
"73",2020-05-05,"Matsiatra Ambony",1
"74",2020-05-06,"Analamanga",1
"75",2020-05-06,"Atsinanana",64
"76",2020-05-06,"Vakinankaratra",1
"77",2020-05-07,"Analamanga",2
"78",2020-05-07,"Atsinanana",35
"79",2020-05-08,"Atsinanana",8
"80",2020-05-09,"Alaotra-Mangoro",3
"81",2020-05-09,"Atsinanana",7
"82",2020-05-10,"Alaotra-Mangoro",6
"83",2020-05-10,"Analamanga",23
"84",2020-05-10,"Atsinanana",3
"85",2020-05-11,"Alaotra-Mangoro",3
"86",2020-05-11,"Analamanga",11
"87",2020-05-11,"Atsinanana",23
"88",2020-05-12,"Atsinanana",14
