Semaine épidémiologique,Date SE,année_SE,district,region,date envoi,Prompt District,Compl District,Pop district,Suspicion d'arbovirose,Autre évènement inhabituel nécessitant une alerte,Cas suspect de cholera,Décès maternel,Décès néonatal,Diarrhées aigues chez moins 5ans,Diarrhées aigues chez plus 5ans,Diarrhées aigues,Diarrhée sanglante,Toxi Infection Alimentaire collective (TIAC),Episode d'Intoxication par consommation d'animaux marins (ICAM),Grippe aviaire,Nombre de cas de fièvre (T°37.5C),Paludisme confirmé,Nombre de TDR effectué,Fièvre hémorragique aiguë
,,,,,,,,,,,,,,,,,,,,,,,,
1,12/30/19,2020,Ambalavao,Haute Matsiatra,1/7/20,1,1,318490,0,0,0,0,0,13,6,19,8,3,0,0,280,111,271,0
,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/20,2020,Ambalavao,Haute Matsiatra,1/14/20,1,1,318490,0,0,0,0,0,35,21,56,18,0,0,0,342,159,328,0
,,,,,,,,,,,,,,,,,,,,,,,,
3,1/13/20,2020,Ambalavao,Haute Matsiatra,1/21/20,1,1,318490,0,0,0,0,0,28,20,48,4,0,0,0,430,180,442,0
,,,,,,,,,,,,,,,,,,,,,,,,
4,1/20/20,2020,Ambalavao,Haute Matsiatra,1/28/20,1,1,318490,0,0,0,0,0,34,21,55,10,0,0,0,428,197,440,0
,,,,,,,,,,,,,,,,,,,,,,,,
5,1/27/20,2020, Ambalavao,Haute Matsiatra,2/4/20,1,1,318490,0,0,0,0,0,31,8,39,15,3,0,0,568,205,559,0
,,,,,,,,,,,,,,,,,,,,,,,,
6,2/3/20,2020,Ambalavao,Haute Matsiatra,2/11/20,1,1,318490,0,0,0,0,0,31,17,48,13,0,0,0,582,294,550,0
,,,,,,,,,,,,,,,,,,,,,,,,
7,2/10/20,2020,Ambalavao,Haute Matsiatra,2/18/20,1,1,318490,0,0,0,0,0,35,9,44,18,0,0,0,545,312,535,0
,,,,,,,,,,,,,,,,,,,,,,,,
8,2/17/20,2020,Ambalavao,Haute Matsiatra,2/25/20,1,1,318490,0,0,0,0,0,16,12,28,12,0,0,0,486,261,479,0
,,,,,,,,,,,,,,,,,,,,,,,,
9,2/24/20,2020,Ambalavao,Haute Matsiatra,3/3/20,1,1,318490,0,0,0,0,0,25,13,38,7,1,0,0,399,189,398,0
,,,,,,,,,,,,,,,,,,,,,,,,
10,3/2/20,2020,Ambalavao,Haute Matsiatra,3/10/20,1,1,318490,0,0,0,0,0,22,17,39,7,0,0,0,450,237,409,0
,,,,,,,,,,,,,,,,,,,,,,,,
11,3/9/20,2020,Ambalavao,Haute Matsiatra,3/17/20,1,1,318490,0,0,0,0,0,17,15,32,12,0,0,0,663,301,628,0
,,,,,,,,,,,,,,,,,,,,,,,,
