"","week","n.cases","n.deaths","n.tests","Global.total.test","frequence"
"1",2020-03-19,3,0,76,76,"quotidien"
"2",2020-03-20,11,0,150,226,"quotidien"
"3",2020-03-21,1,0,67,293,"quotidien"
"4",2020-03-22,3,0,106,399,"quotidien"
"5",2020-03-23,4,0,33,432,"quotidien"
"6",2020-03-24,1,0,64,496,"quotidien"
"7",2020-03-25,8,0,213,709,"quotidien"
"8",2020-03-26,8,0,184,893,"quotidien"
"9",2020-03-27,24,0,174,1067,"quotidien"
"10",2020-03-28,10,0,115,1182,"quotidien"
"11",2020-03-29,2,0,74,1256,"quotidien"
"12",2020-03-30,1,0,81,1337,"quotidien"
"13",2020-03-31,2,0,135,1472,"quotidien"
"14",2020-04-01,5,0,28,1500,"quotidien"
"15",2020-04-02,6,0,62,1562,"quotidien"
"16",2020-04-03,6,0,56,1618,"quotidien"
"17",2020-04-04,3,0,54,1672,"quotidien"
"18",2020-04-05,13,0,56,1728,"quotidien"
"19",2020-04-06,8,0,60,1788,"quotidien"
"20",2020-04-07,7,0,49,1837,"quotidien"
"21",2020-04-08,1,0,42,1879,"quotidien"
"22",2020-04-09,2,0,150,2029,"quotidien"
"23",2020-04-10,9,0,50,2079,"quotidien"
"24",2020-04-11,1,0,52,2131,"quotidien"
"25",2020-04-12,1,0,24,2155,"quotidien"
"26",2020-04-13,2,0,40,2195,"quotidien"
"27",2020-04-14,2,0,33,2228,"quotidien"
"28",2020-04-15,1,0,54,2282,"quotidien"
"29",2020-04-16,6,0,53,2335,"quotidien"
"30",2020-04-17,4,0,54,2389,"quotidien"
"31",2020-04-19,1,0,56,2445,"quotidien"
"32",2020-04-20,1,0,102,2547,"quotidien"
"33",2020-04-21,0,0,14,2561,"quotidien"
"34",2020-04-22,0,0,62,2623,"quotidien"
"35",2020-04-23,0,0,26,2649,"quotidien"
"36",2020-04-24,0,0,67,2716,"quotidien"
"37",2020-04-25,1,0,101,2817,"quotidien"
"38",2020-04-26,2,0,102,2919,"quotidien"
"39",2020-04-27,4,0,146,3065,"quotidien"
"40",2020-04-28,0,0,42,3107,"quotidien"
"41",2020-04-29,0,0,80,3187,"quotidien"
"42",2020-04-30,0,0,93,3280,"quotidien"
"43",2020-04-24,1,0,113,3393,"quotidien"
"44",2020-04-25,2,0,218,3611,"quotidien"
"45",2020-04-26,4,0,161,3772,"quotidien"
"46",2020-04-30,4,0,89,3861,"quotidien"
"47",2020-05-01,3,0,46,3907,"quotidien"
"48",2020-05-02,7,0,61,3968,"quotidien"
"49",2020-05-03,3,0,252,4220,"quotidien"
"50",2020-05-04,7,0,94,4314,"quotidien"
"51",2020-05-07,5,0,678,4992,"quotidien"
"52",2020-05-08,4,0,216,5208,"quotidien"
"53",2020-05-09,5,0,249,5457,"quotidien"
"54",2020-05-10,6,0,193,5650,"quotidien"
"55",2020-05-11,4,0,327,5977,"quotidien"
"56",2020-05-12,18,0,210,6187,"quotidien"
"57",2020-05-13,29,0,251,6438,"quotidien"
"58",2020-05-14,28,1,357,6795,"quotidien"
"59",2020-05-15,26,0,85,6880,"quotidien"
"60",2020-05-16,20,0,160,7040,"quotidien"
"61",2020-05-17,27,1,246,7286,"quotidien"
"62",2020-05-18,69,3,410,7696,"quotidien"
"63",2020-05-19,43,1,480,8176,"quotidien"
"64",2020-05-20,38,1,261,8437,"quotidien"
"65",2020-05-21,31,0,314,8751,"quotidien"
"66",2020-05-22,22,1,363,9114,"quotidien"
"67",2020-05-23,34,0,226,9340,"quotidien"
"68",2020-05-24,8,0,341,9681,"quotidien"
"69",2020-05-25,44,1,267,9948,"quotidien"
"70",2020-05-26,32,0,301,10249,"quotidien"
"71",2020-05-27,48,1,503,10752,"quotidien"
"72",2020-05-28,76,2,559,11311,"quotidien"
"73",2020-05-29,27,1,422,11733,"quotidien"
"74",2020-05-30,33,1,221,11954,"quotidien"
"75",2020-05-31,29,0,238,12192,"quotidien"
"76",2020-06-01,46,1,416,12608,"quotidien"
"77",2020-06-02,65,1,299,12907,"quotidien"
"78",2020-06-03,16,0,323,13230,"quotidien"
"79",2020-06-04,13,0,378,13608,"quotidien"
"80",2020-06-05,72,1,248,13856,"quotidien"
"81",2020-06-06,38,1,250,14106,"quotidien"
"82",2020-06-07,30,1,419,14525,"quotidien"
"83",2020-06-08,51,2,332,14857,"quotidien"
"84",2020-06-09,44,1,291,15148,"quotidien"
"85",2020-06-10,12,0,419,15567,"quotidien"
"86",2020-06-11,39,2,189,15756,"quotidien"
"87",2020-06-12,22,0,225,15981,"quotidien"
"88",2020-06-13,34,2,112,16093,"quotidien"
"89",2020-06-14,22,0,309,16402,"quotidien"
"90",2020-06-15,18,1,251,16653,"quotidien"
"91",2020-06-16,44,0,442,17095,"quotidien"
